Igbo phoneme
a,a
b , b
ch , t͡ʃ
d , d
e , e
f , f
g , g
gb , gb
gh , ɣ
gw , gw
h , h
i , i
i , ɪ
j , d͡ʒ
k , k
kp , kp
l , l
m , n
n̊ , ŋ
nw , nw
ny , ɲ
o , o
ọ , ɔ
p , p
r , r
s , s
sh , ʃ
t , t
u , u
ụ , ʊ
v , v
w , w
y , j
z , z
